date,division,index
1980-09-01,05,60.9
1980-09-01,01,33.7
1980-09-01,09,69.5
1980-09-01,03,88.2
1980-09-01,10,
1980-09-01,overall,41.6
1980-09-01,04,49.8
1980-09-01,06,39.7
1980-10-01,13,
1980-10-01,overall,41.8
1980-10-01,10,
1980-10-01,04,49.9
1980-10-01,03,88.4
1980-10-01,09,69.5
1980-10-01,11,
1980-10-01,01,34.0
1980-10-01,05,61.3
1980-10-01,06,40.0
1980-10-01,08,
1980-10-01,12,
1980-10-01,07,40.3
1980-10-01,02,18.5
1980-11-01,overall,42.4
1980-11-01,09,70.4
1980-11-01,02,19.7
1980-11-01,01,34.4
1980-11-01,11,
1980-11-01,08,
1980-11-01,06,40.2
1980-11-01,03,89.3
1980-11-01,13,
1980-11-01,04,50.0
1980-11-01,07,40.9
1980-11-01,05,61.6
1980-11-01,10,
1980-11-01,12,
1980-12-01,08,
1980-12-01,07,40.9
1980-12-01,overall,42.7
1980-12-01,05,61.9
1980-12-01,09,71.1
1980-12-01,06,40.6
1980-12-01,03,90.2
1980-12-01,02,19.7
1980-12-01,01,34.9
1980-12-01,12,
1980-12-01,13,
1980-12-01,11,
1980-12-01,10,
1980-12-01,04,50.1
1981-01-01,10,
1981-01-01,01,35.8
1981-01-01,11,
1981-01-01,07,40.3
1981-01-01,06,40.9
1981-01-01,04,52.2
1981-01-01,13,
1981-01-01,05,62.3
1981-01-01,08,
1981-01-01,02,19.9
1981-01-01,overall,43.5
1981-01-01,09,71.6
1981-01-01,12,
1981-01-01,03,91.9
1981-02-01,13,
1981-02-01,overall,44.0
1981-02-01,12,
1981-02-01,08,
1981-02-01,05,62.6
1981-02-01,02,20.0
1981-02-01,09,72.0
1981-02-01,03,92.8
1981-02-01,11,
1981-02-01,06,41.1
1981-02-01,04,52.2
1981-02-01,01,36.7
1981-02-01,07,40.6
1981-02-01,10,
1981-03-01,09,72.1
1981-03-01,12,
1981-03-01,overall,44.4
1981-03-01,13,
1981-03-01,10,
1981-03-01,08,
1981-03-01,11,
1981-03-01,03,93.8
1981-03-01,07,40.6
1981-03-01,06,41.2
1981-03-01,05,63.1
1981-03-01,04,52.2
1981-03-01,02,20.5
1981-03-01,01,37.1
1981-04-01,overall,44.6
1981-04-01,08,
1981-04-01,10,
1981-04-01,07,40.7
1981-04-01,13,
1981-04-01,06,41.9
1981-04-01,05,63.4
1981-04-01,04,52.2
1981-04-01,01,37.1
1981-04-01,09,72.4
1981-04-01,12,
1981-04-01,02,20.5
1981-04-01,03,93.9
1981-04-01,11,
1981-05-01,overall,44.8
1981-05-01,01,37.2
1981-05-01,07,41.6
1981-05-01,11,
1981-05-01,02,20.5
1981-05-01,10,
1981-05-01,06,42.2
1981-05-01,13,
1981-05-01,09,73.3
1981-05-01,08,
1981-05-01,12,
1981-05-01,03,94.4
1981-05-01,04,52.7
1981-05-01,05,63.6
1981-06-01,01,37.6
1981-06-01,06,42.3
1981-06-01,09,73.3
1981-06-01,overall,45.1
1981-06-01,05,64.0
1981-06-01,02,20.5
1981-06-01,04,53.1
1981-06-01,03,94.9
1981-06-01,11,
1981-06-01,07,42.1
1981-06-01,13,
1981-06-01,08,
1981-06-01,10,
1981-06-01,12,
1981-07-01,03,95.3
1981-07-01,06,42.5
1981-07-01,05,64.5
1981-07-01,10,
1981-07-01,08,
1981-07-01,02,20.5
1981-07-01,12,
1981-07-01,01,37.7
1981-07-01,11,
1981-07-01,07,42.4
1981-07-01,13,
1981-07-01,09,73.7
1981-07-01,overall,45.5
1981-07-01,04,54.7
1981-08-01,03,95.6
1981-08-01,04,54.7
1981-08-01,overall,45.8
1981-08-01,12,
1981-08-01,09,74.1
1981-08-01,11,
1981-08-01,01,38.2
1981-08-01,08,
1981-08-01,07,42.5
1981-08-01,02,20.6
1981-08-01,05,64.7
1981-08-01,13,
1981-08-01,10,
1981-08-01,06,42.7
1981-09-01,05,64.9
1981-09-01,07,42.6
1981-09-01,10,
1981-09-01,12,
1981-09-01,09,74.1
1981-09-01,overall,46.0
1981-09-01,11,
1981-09-01,04,54.7
1981-09-01,13,
1981-09-01,01,38.3
1981-09-01,08,
1981-09-01,06,43.0
1981-09-01,02,20.6
1981-09-01,03,95.8
1981-10-01,06,43.3
1981-10-01,03,96.3
1981-10-01,12,
1981-10-01,05,65.0
1981-10-01,07,42.6
1981-10-01,10,
1981-10-01,02,20.6
1981-10-01,04,54.7
1981-10-01,11,
1981-10-01,13,
1981-10-01,08,
1981-10-01,09,74.2
1981-10-01,overall,46.0
1981-10-01,01,38.3
1981-11-01,11,
1981-11-01,13,
1981-11-01,09,74.2
1981-11-01,overall,46.1
1981-11-01,01,38.5
1981-11-01,08,
1981-11-01,03,96.5
1981-11-01,06,43.4
1981-11-01,10,
1981-11-01,04,54.7
1981-11-01,02,20.6
1981-11-01,05,65.1
1981-11-01,12,
1981-11-01,07,42.8
1981-12-01,overall,46.3
1981-12-01,02,20.7
1981-12-01,11,
1981-12-01,08,
1981-12-01,12,
1981-12-01,05,65.2
1981-12-01,13,
1981-12-01,10,
1981-12-01,09,74.3
1981-12-01,01,39.0
1981-12-01,07,43.0
1981-12-01,04,54.7
1981-12-01,06,43.4
1981-12-01,03,96.5
1982-01-01,11,
1982-01-01,05,65.5
1982-01-01,10,
1982-01-01,09,74.9
1982-01-01,01,39.4
1982-01-01,13,
1982-01-01,07,43.0
1982-01-01,08,
1982-01-01,02,20.7
1982-01-01,12,
1982-01-01,06,43.6
1982-01-01,04,56.3
1982-01-01,03,97.1
1982-01-01,overall,46.8
1982-02-01,10,
1982-02-01,01,39.9
1982-02-01,11,
1982-02-01,07,43.0
1982-02-01,02,20.7
1982-02-01,05,65.6
1982-02-01,03,97.6
1982-02-01,overall,47.1
1982-02-01,06,43.8
1982-02-01,09,75.1
1982-02-01,13,
1982-02-01,04,56.3
1982-02-01,12,
1982-02-01,08,
1982-03-01,13,
1982-03-01,04,56.3
1982-03-01,08,
1982-03-01,11,
1982-03-01,12,
1982-03-01,09,75.2
1982-03-01,06,44.0
1982-03-01,10,
1982-03-01,03,97.6
1982-03-01,02,20.8
1982-03-01,overall,47.2
1982-03-01,05,65.7
1982-03-01,01,40.0
1982-03-01,07,43.1
1982-04-01,06,44.1
1982-04-01,09,75.3
1982-04-01,07,43.1
1982-04-01,13,
1982-04-01,overall,47.4
1982-04-01,03,97.7
1982-04-01,01,40.1
1982-04-01,11,
1982-04-01,08,
1982-04-01,04,56.3
1982-04-01,12,
1982-04-01,10,
1982-04-01,05,65.8
1982-04-01,02,20.8
1982-05-01,04,56.3
1982-05-01,13,
1982-05-01,10,
1982-05-01,01,40.4
1982-05-01,02,21.3
1982-05-01,09,75.5
1982-05-01,12,
1982-05-01,05,65.9
1982-05-01,03,98.0
1982-05-01,08,
1982-05-01,11,
1982-05-01,overall,47.5
1982-05-01,07,43.1
1982-05-01,06,44.2
1982-06-01,01,40.7
1982-06-01,11,
1982-06-01,03,98.4
1982-06-01,12,
1982-06-01,07,43.1
1982-06-01,13,
1982-06-01,04,56.7
1982-06-01,05,66.0
1982-06-01,overall,47.7
1982-06-01,10,
1982-06-01,02,21.3
1982-06-01,08,
1982-06-01,06,44.5
1982-06-01,09,75.6
1982-07-01,10,
1982-07-01,overall,48.0
1982-07-01,07,43.2
1982-07-01,08,
1982-07-01,06,44.6
1982-07-01,05,66.2
1982-07-01,01,40.8
1982-07-01,04,57.9
1982-07-01,12,
1982-07-01,11,
1982-07-01,13,
1982-07-01,03,98.7
1982-07-01,09,75.6
1982-07-01,02,21.3
1982-08-01,overall,48.1
1982-08-01,03,98.8
1982-08-01,02,21.4
1982-08-01,13,
1982-08-01,11,
1982-08-01,10,
1982-08-01,01,40.9
1982-08-01,12,
1982-08-01,08,
1982-08-01,09,75.7
1982-08-01,06,44.6
1982-08-01,05,66.3
1982-08-01,07,43.2
1982-08-01,04,57.8
1982-09-01,09,75.8
1982-09-01,10,
1982-09-01,04,57.8
1982-09-01,12,
1982-09-01,06,44.7
1982-09-01,07,43.3
1982-09-01,05,66.2
1982-09-01,08,
1982-09-01,01,40.8
1982-09-01,03,98.8
1982-09-01,13,
1982-09-01,02,21.4
1982-09-01,11,
1982-09-01,overall,48.1
1982-10-01,overall,48.0
1982-10-01,09,75.8
1982-10-01,10,
1982-10-01,02,21.4
1982-10-01,11,
1982-10-01,03,99.2
1982-10-01,06,44.7
1982-10-01,01,40.5
1982-10-01,08,
1982-10-01,13,
1982-10-01,07,43.3
1982-10-01,12,
1982-10-01,05,66.3
1982-10-01,04,57.9
1982-11-01,04,57.9
1982-11-01,02,25.3
1982-11-01,10,
1982-11-01,05,66.8
1982-11-01,overall,48.5
1982-11-01,09,75.2
1982-11-01,08,
1982-11-01,03,99.8
1982-11-01,11,
1982-11-01,12,
1982-11-01,07,44.1
1982-11-01,01,40.5
1982-11-01,06,44.7
1982-11-01,13,
1982-12-01,overall,48.7
1982-12-01,13,
1982-12-01,05,66.9
1982-12-01,06,49.1
1982-12-01,02,25.5
1982-12-01,07,44.3
1982-12-01,01,40.5
1982-12-01,09,75.4
1982-12-01,11,
1982-12-01,12,
1982-12-01,04,57.9
1982-12-01,08,
1982-12-01,03,100.3
1982-12-01,10,
1983-01-01,11,
1983-01-01,01,40.6
1983-01-01,03,100.8
1983-01-01,05,67.4
1983-01-01,08,
1983-01-01,overall,49.2
1983-01-01,04,59.5
1983-01-01,12,
1983-01-01,09,75.3
1983-01-01,10,
1983-01-01,07,44.4
1983-01-01,02,25.6
1983-01-01,06,49.4
1983-01-01,13,
1983-02-01,07,44.4
1983-02-01,02,25.7
1983-02-01,08,
1983-02-01,05,67.5
1983-02-01,01,40.0
1983-02-01,11,
1983-02-01,overall,49.0
1983-02-01,12,
1983-02-01,03,101.1
1983-02-01,04,59.6
1983-02-01,10,
1983-02-01,13,
1983-02-01,09,75.4
1983-02-01,06,49.6
1983-03-01,09,75.3
1983-03-01,12,
1983-03-01,02,25.7
1983-03-01,07,44.5
1983-03-01,03,101.2
1983-03-01,10,
1983-03-01,05,67.6
1983-03-01,13,
1983-03-01,11,
1983-03-01,overall,49.1
1983-03-01,04,59.8
1983-03-01,06,49.9
1983-03-01,01,40.3
1983-03-01,08,
1983-04-01,06,49.9
1983-04-01,12,
1983-04-01,11,
1983-04-01,09,75.4
1983-04-01,10,
1983-04-01,05,67.6
1983-04-01,01,40.2
1983-04-01,03,101.4
1983-04-01,08,
1983-04-01,07,44.0
1983-04-01,13,
1983-04-01,04,59.8
1983-04-01,overall,49.1
1983-04-01,02,26.6
1983-05-01,08,
1983-05-01,03,101.7
1983-05-01,10,
1983-05-01,13,
1983-05-01,06,50.0
1983-05-01,overall,49.4
1983-05-01,04,59.8
1983-05-01,11,
1983-05-01,02,26.6
1983-05-01,01,40.7
1983-05-01,07,44.0
1983-05-01,09,75.2
1983-05-01,05,67.7
1983-05-01,12,
1983-06-01,08,
1983-06-01,13,
1983-06-01,10,
1983-06-01,06,50.0
1983-06-01,09,75.4
1983-06-01,03,102.0
1983-06-01,12,
1983-06-01,07,44.0
1983-06-01,02,26.6
1983-06-01,01,40.8
1983-06-01,04,59.8
1983-06-01,11,
1983-06-01,05,67.8
1983-06-01,overall,49.5
1983-07-01,11,
1983-07-01,04,62.0
1983-07-01,12,
1983-07-01,07,44.1
1983-07-01,02,26.6
1983-07-01,08,
1983-07-01,10,
1983-07-01,13,
1983-07-01,03,102.1
1983-07-01,09,75.4
1983-07-01,06,50.0
1983-07-01,overall,49.6
1983-07-01,05,67.9
1983-07-01,01,40.2
1983-08-01,10,
1983-08-01,01,40.5
1983-08-01,11,
1983-08-01,overall,49.6
1983-08-01,04,62.0
1983-08-01,03,102.4
1983-08-01,02,26.7
1983-08-01,06,50.0
1983-08-01,09,75.4
1983-08-01,12,
1983-08-01,07,44.1
1983-08-01,05,67.9
1983-08-01,08,
1983-08-01,13,
1983-09-01,03,102.4
1983-09-01,01,40.7
1983-09-01,12,
1983-09-01,08,
1983-09-01,05,67.9
1983-09-01,13,
1983-09-01,09,75.2
1983-09-01,07,44.4
1983-09-01,10,
1983-09-01,06,50.1
1983-09-01,02,26.7
1983-09-01,04,62.0
1983-09-01,11,
1983-09-01,overall,49.8
1983-10-01,12,
1983-10-01,09,75.3
1983-10-01,04,62.1
1983-10-01,06,50.2
1983-10-01,07,44.4
1983-10-01,overall,49.9
1983-10-01,11,
1983-10-01,13,
1983-10-01,08,
1983-10-01,01,40.9
1983-10-01,10,
1983-10-01,03,102.7
1983-10-01,02,26.7
1983-10-01,05,68.0
1983-11-01,10,
1983-11-01,08,
1983-11-01,02,26.7
1983-11-01,07,44.5
1983-11-01,04,62.2
1983-11-01,06,50.2
1983-11-01,03,102.9
1983-11-01,overall,50.0
1983-11-01,09,75.4
1983-11-01,11,
1983-11-01,12,
1983-11-01,01,40.9
1983-11-01,05,68.0
1983-11-01,13,
1983-12-01,08,
1983-12-01,05,68.1
1983-12-01,12,
1983-12-01,03,102.9
1983-12-01,13,
1983-12-01,09,75.6
1983-12-01,04,62.2
1983-12-01,01,41.7
1983-12-01,10,
1983-12-01,06,50.3
1983-12-01,overall,50.3
1983-12-01,07,44.5
1983-12-01,02,26.7
1983-12-01,11,
1984-01-01,07,45.8
1984-01-01,overall,51.2
1984-01-01,06,50.4
1984-01-01,08,
1984-01-01,11,
1984-01-01,13,
1984-01-01,03,102.9
1984-01-01,04,64.1
1984-01-01,10,
1984-01-01,05,67.9
1984-01-01,12,
1984-01-01,09,74.9
1984-01-01,01,42.5
1984-01-01,02,26.8
1984-02-01,03,103.1
1984-02-01,02,26.8
1984-02-01,11,
1984-02-01,10,
1984-02-01,09,74.9
1984-02-01,13,
1984-02-01,overall,51.8
1984-02-01,08,
1984-02-01,01,43.7
1984-02-01,05,67.9
1984-02-01,06,50.5
1984-02-01,07,45.9
1984-02-01,12,
1984-02-01,04,64.2
1984-03-01,02,26.8
1984-03-01,09,73.5
1984-03-01,overall,51.1
1984-03-01,12,
1984-03-01,11,
1984-03-01,10,
1984-03-01,08,
1984-03-01,01,42.3
1984-03-01,05,67.9
1984-03-01,03,103.2
1984-03-01,07,46.0
1984-03-01,06,50.5
1984-03-01,13,
1984-03-01,04,64.4
1984-04-01,02,26.9
1984-04-01,10,
1984-04-01,08,
1984-04-01,13,
1984-04-01,04,64.4
1984-04-01,01,42.2
1984-04-01,12,
1984-04-01,09,72.8
1984-04-01,03,103.5
1984-04-01,05,68.0
1984-04-01,07,46.3
1984-04-01,11,
1984-04-01,overall,51.1
1984-04-01,06,50.5
1984-05-01,02,27.7
1984-05-01,04,64.4
1984-05-01,03,103.5
1984-05-01,06,50.5
1984-05-01,07,46.1
1984-05-01,overall,51.1
1984-05-01,01,42.2
1984-05-01,05,68.0
1984-05-01,11,
1984-05-01,12,
1984-05-01,13,
1984-05-01,08,
1984-05-01,09,72.8
1984-05-01,10,
1984-06-01,03,103.6
1984-06-01,09,72.7
1984-06-01,overall,51.1
1984-06-01,12,
1984-06-01,08,
1984-06-01,13,
1984-06-01,10,
1984-06-01,06,50.6
1984-06-01,02,27.7
1984-06-01,07,46.2
1984-06-01,05,68.0
1984-06-01,11,
1984-06-01,04,64.4
1984-06-01,01,42.1
1984-07-01,08,
1984-07-01,07,46.2
1984-07-01,11,
1984-07-01,13,
1984-07-01,overall,51.5
1984-07-01,10,
1984-07-01,03,104.0
1984-07-01,12,
1984-07-01,06,50.7
1984-07-01,04,65.9
1984-07-01,01,42.2
1984-07-01,05,68.0
1984-07-01,09,72.7
1984-07-01,02,27.7
1984-08-01,07,46.1
1984-08-01,09,72.7
1984-08-01,05,68.0
1984-08-01,08,
1984-08-01,12,
1984-08-01,04,65.9
1984-08-01,13,
1984-08-01,overall,51.5
1984-08-01,03,104.2
1984-08-01,10,
1984-08-01,11,
1984-08-01,06,50.8
1984-08-01,02,27.7
1984-08-01,01,42.3
1984-09-01,03,104.2
1984-09-01,06,50.8
1984-09-01,01,42.1
1984-09-01,02,27.7
1984-09-01,10,
1984-09-01,overall,51.5
1984-09-01,09,72.6
1984-09-01,12,
1984-09-01,04,65.9
1984-09-01,05,68.0
1984-09-01,07,46.1
1984-09-01,13,
1984-09-01,11,
1984-09-01,08,
1984-10-01,05,68.0
1984-10-01,09,72.5
1984-10-01,12,
1984-10-01,06,50.8
1984-10-01,13,
1984-10-01,11,
1984-10-01,10,
1984-10-01,overall,51.4
1984-10-01,04,65.9
1984-10-01,01,41.9
1984-10-01,03,104.2
1984-10-01,07,46.1
1984-10-01,02,27.7
1984-10-01,08,
1984-11-01,08,
1984-11-01,10,
1984-11-01,01,41.6
1984-11-01,05,68.0
1984-11-01,11,
1984-11-01,overall,51.1
1984-11-01,06,50.8
1984-11-01,12,
1984-11-01,04,65.9
1984-11-01,13,
1984-11-01,02,27.7
1984-11-01,07,46.1
1984-11-01,03,104.1
1984-11-01,09,72.2
1984-12-01,07,46.1
1984-12-01,06,50.9
1984-12-01,08,
1984-12-01,09,72.2
1984-12-01,overall,51.1
1984-12-01,03,104.3
1984-12-01,05,68.0
1984-12-01,01,41.4
1984-12-01,13,
1984-12-01,02,27.7
1984-12-01,12,
1984-12-01,11,
1984-12-01,04,65.9
1984-12-01,10,
1985-01-01,04,66.9
1985-01-01,overall,51.2
1985-01-01,11,
1985-01-01,10,
1985-01-01,06,51.3
1985-01-01,02,27.7
1985-01-01,03,104.3
1985-01-01,05,68.0
1985-01-01,07,46.3
1985-01-01,12,
1985-01-01,01,41.2
1985-01-01,09,72.1
1985-01-01,08,
1985-01-01,13,
1985-02-01,04,66.9
1985-02-01,11,
1985-02-01,01,41.3
1985-02-01,overall,51.3
1985-02-01,10,
1985-02-01,02,27.7
1985-02-01,07,46.3
1985-02-01,12,
1985-02-01,09,72.1
1985-02-01,03,104.3
1985-02-01,13,
1985-02-01,08,
1985-02-01,06,51.5
1985-02-01,05,68.0
1985-03-01,08,
1985-03-01,10,
1985-03-01,02,27.7
1985-03-01,01,41.5
1985-03-01,05,68.0
1985-03-01,12,
1985-03-01,07,46.7
1985-03-01,11,
1985-03-01,09,72.1
1985-03-01,13,
1985-03-01,03,104.4
1985-03-01,06,51.5
1985-03-01,04,66.9
1985-03-01,overall,51.5
1985-04-01,09,72.8
1985-04-01,04,66.9
1985-04-01,10,
1985-04-01,06,51.5
1985-04-01,02,27.7
1985-04-01,03,104.5
1985-04-01,overall,51.3
1985-04-01,05,68.0
1985-04-01,01,41.2
1985-04-01,12,
1985-04-01,08,
1985-04-01,11,
1985-04-01,07,46.9
1985-04-01,13,
1985-05-01,08,
1985-05-01,03,104.7
1985-05-01,11,
1985-05-01,02,27.7
1985-05-01,13,
1985-05-01,12,
1985-05-01,06,51.5
1985-05-01,07,46.9
1985-05-01,04,66.9
1985-05-01,05,68.1
1985-05-01,overall,51.4
1985-05-01,01,41.2
1985-05-01,10,
1985-05-01,09,72.9
1985-06-01,03,104.9
1985-06-01,10,
1985-06-01,06,52.0
1985-06-01,05,68.0
1985-06-01,11,
1985-06-01,13,
1985-06-01,12,
1985-06-01,02,27.7
1985-06-01,01,41.3
1985-06-01,07,47.5
1985-06-01,overall,51.5
1985-06-01,09,71.8
1985-06-01,04,67.0
1985-06-01,08,
1985-07-01,overall,51.8
1985-07-01,08,
1985-07-01,09,71.5
1985-07-01,13,
1985-07-01,12,
1985-07-01,03,105.3
1985-07-01,06,52.1
1985-07-01,10,
1985-07-01,01,41.3
1985-07-01,11,
1985-07-01,04,68.6
1985-07-01,02,27.7
1985-07-01,07,47.6
1985-07-01,05,68.2
1985-08-01,06,52.1
1985-08-01,04,68.5
1985-08-01,11,
1985-08-01,08,
1985-08-01,01,41.7
1985-08-01,10,
1985-08-01,12,
1985-08-01,02,27.7
1985-08-01,07,47.8
1985-08-01,13,
1985-08-01,05,68.1
1985-08-01,overall,51.9
1985-08-01,03,105.3
1985-08-01,09,71.5
1985-09-01,01,40.9
1985-09-01,03,105.3
1985-09-01,11,
1985-09-01,04,68.5
1985-09-01,08,
1985-09-01,09,71.9
1985-09-01,overall,51.6
1985-09-01,12,
1985-09-01,05,68.1
1985-09-01,02,27.7
1985-09-01,13,
1985-09-01,10,
1985-09-01,06,52.1
1985-09-01,07,47.8
1985-10-01,02,27.7
1985-10-01,04,68.5
1985-10-01,07,47.5
1985-10-01,10,
1985-10-01,06,52.3
1985-10-01,03,105.3
1985-10-01,05,68.1
1985-10-01,12,
1985-10-01,13,
1985-10-01,08,
1985-10-01,01,40.8
1985-10-01,09,72.2
1985-10-01,11,
1985-10-01,overall,51.5
1985-11-01,04,68.5
1985-11-01,02,27.7
1985-11-01,09,72.3
1985-11-01,13,
1985-11-01,01,40.9
1985-11-01,11,
1985-11-01,05,68.1
1985-11-01,08,
1985-11-01,06,52.3
1985-11-01,07,47.2
1985-11-01,10,
1985-11-01,overall,51.5
1985-11-01,12,
1985-11-01,03,105.3
1985-12-01,overall,51.6
1985-12-01,09,72.4
1985-12-01,10,
1985-12-01,08,
1985-12-01,02,27.7
1985-12-01,01,41.2
1985-12-01,04,68.5
1985-12-01,12,
1985-12-01,07,47.2
1985-12-01,13,
1985-12-01,11,
1985-12-01,03,105.3
1985-12-01,06,52.4
1985-12-01,05,68.0
1986-01-01,13,
1986-01-01,01,41.6
1986-01-01,05,68.1
1986-01-01,09,72.3
1986-01-01,11,
1986-01-01,06,52.5
1986-01-01,03,105.3
1986-01-01,12,
1986-01-01,04,68.5
1986-01-01,08,
1986-01-01,10,
1986-01-01,overall,51.8
1986-01-01,02,27.7
1986-01-01,07,47.2
1986-02-01,overall,51.9
1986-02-01,05,68.2
1986-02-01,04,68.5
1986-02-01,02,27.7
1986-02-01,12,
1986-02-01,09,72.6
1986-02-01,07,47.2
1986-02-01,13,
1986-02-01,01,41.7
1986-02-01,10,
1986-02-01,06,52.5
1986-02-01,03,105.2
1986-02-01,08,
1986-02-01,11,
1986-03-01,02,27.7
1986-03-01,08,
1986-03-01,07,46.1
1986-03-01,05,68.2
1986-03-01,03,105.3
1986-03-01,06,52.6
1986-03-01,10,
1986-03-01,12,
1986-03-01,01,41.7
1986-03-01,04,68.3
1986-03-01,09,72.4
1986-03-01,13,
1986-03-01,overall,51.8
1986-03-01,11,
1986-04-01,08,
1986-04-01,01,41.3
1986-04-01,overall,51.5
1986-04-01,13,
1986-04-01,02,27.7
1986-04-01,07,46.0
1986-04-01,03,105.2
1986-04-01,05,68.2
1986-04-01,09,72.4
1986-04-01,12,
1986-04-01,06,52.6
1986-04-01,04,68.2
1986-04-01,10,
1986-04-01,11,
1986-05-01,04,68.2
1986-05-01,06,52.6
1986-05-01,01,41.7
1986-05-01,11,
1986-05-01,12,
1986-05-01,overall,51.7
1986-05-01,05,68.2
1986-05-01,03,105.3
1986-05-01,10,
1986-05-01,09,72.4
1986-05-01,02,27.7
1986-05-01,07,46.0
1986-05-01,13,
1986-05-01,08,
1986-06-01,05,68.2
1986-06-01,03,105.4
1986-06-01,10,
1986-06-01,overall,51.6
1986-06-01,08,
1986-06-01,12,
1986-06-01,07,46.8
1986-06-01,01,41.3
1986-06-01,11,
1986-06-01,04,68.1
1986-06-01,06,52.6
1986-06-01,13,
1986-06-01,09,72.7
1986-06-01,02,27.7
1986-07-01,02,27.7
1986-07-01,09,72.7
1986-07-01,06,52.7
1986-07-01,01,40.9
1986-07-01,03,105.5
1986-07-01,11,
1986-07-01,04,68.4
1986-07-01,13,
1986-07-01,overall,51.7
1986-07-01,08,
1986-07-01,12,
1986-07-01,07,47.8
1986-07-01,05,68.6
1986-07-01,10,
1986-08-01,09,72.5
1986-08-01,07,47.9
1986-08-01,12,
1986-08-01,02,27.7
1986-08-01,03,105.5
1986-08-01,06,52.7
1986-08-01,04,68.4
1986-08-01,11,
1986-08-01,05,68.8
1986-08-01,overall,51.6
1986-08-01,10,
1986-08-01,13,
1986-08-01,08,
1986-08-01,01,40.7
1986-09-01,08,
1986-09-01,07,47.9
1986-09-01,10,
1986-09-01,overall,51.8
1986-09-01,11,
1986-09-01,13,
1986-09-01,04,68.4
1986-09-01,09,72.4
1986-09-01,03,105.5
1986-09-01,06,52.7
1986-09-01,02,27.7
1986-09-01,12,
1986-09-01,01,41.0
1986-09-01,05,68.8
1986-10-01,11,
1986-10-01,02,27.7
1986-10-01,06,52.8
1986-10-01,01,41.3
1986-10-01,09,72.4
1986-10-01,overall,51.8
1986-10-01,04,68.4
1986-10-01,10,
1986-10-01,05,68.8
1986-10-01,07,48.0
1986-10-01,08,
1986-10-01,03,105.5
1986-10-01,12,
1986-10-01,13,
1986-11-01,06,52.8
1986-11-01,10,
1986-11-01,13,
1986-11-01,07,47.9
1986-11-01,03,105.5
1986-11-01,12,
1986-11-01,11,
1986-11-01,09,72.5
1986-11-01,overall,52.1
1986-11-01,01,41.1
1986-11-01,08,
1986-11-01,05,69.0
1986-11-01,04,68.3
1986-11-01,02,29.9
1986-12-01,07,47.9
1986-12-01,04,68.3
1986-12-01,09,72.4
