series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
growth_yoy,2009-06-01,-22.4,-23.5,12.2,-20.2,-21.6,-21.4,-29.6
growth_mom,2009-06-01,5.3,5.7,-2.6,9.0,9.8,6.9,-7.1
abs,2009-07-01,49312749069.0,46606239384.00001,2706509684.9999924,40988869787.0,38282360102.00001,90301618856.0,8323879282.0
growth_yoy,2009-07-01,-22.3,-24.2,36.5,-15.9,-18.1,-19.5,-43.5
growth_mom,2009-07-01,8.7,7.6,31.6,13.9,12.8,11.0,-11.3
abs,2009-08-01,48290955470.0,45802804798.0,2488150672.0,38255048665.0,35766897993.0,86546004135.0,10035906805.0
growth_yoy,2009-08-01,-19.5,-20.8,15.4,-18.4,-20.0,-19.0,-23.5
growth_mom,2009-08-01,-2.1,-1.7,-8.1,-6.7,-6.6,-4.2,20.6
abs,2009-09-01,47778690853.0,45619149769.00001,2159541083.9999924,37959731261.0,35800190177.00001,85738422114.0,9818959592.0
growth_yoy,2009-09-01,-23.9,-25.0,10.2,-19.9,-21.2,-22.2,-36.3
growth_mom,2009-09-01,-1.1,-0.4,-13.2,-0.8,0.1,-0.9,-2.2
abs,2009-10-01,54687916585.0,51358172204.0,3329744381.0,42803401516.0,39473657135.0,97491318101.0,11884515069.0
growth_yoy,2009-10-01,3.5,0.6,87.3,-2.1,-5.9,1.0,30.4
growth_mom,2009-10-01,14.5,12.6,54.2,12.8,10.3,13.7,21.0
abs,2009-11-01,50084844633.0,47477425909.0,2607418724.0,41115630946.0,38508212222.0,91200475579.0,8969213687.0
growth_yoy,2009-11-01,-2.4,-4.1,45.7,2.2,0.2,-0.3,-19.2
growth_mom,2009-11-01,-8.4,-7.6,-21.7,-3.9,-2.4,-6.5,-24.5
abs,2009-12-01,54729127467.0,51773076566.0,2956050901.0,42512775825.0,39556724924.0,97241903292.0,12216351642.0
growth_yoy,2009-12-01,21.6,19.1,92.0,23.4,20.2,22.4,15.5
growth_mom,2009-12-01,9.3,9.0,13.4,3.4,2.7,6.6,36.2
abs,2010-01-01,52527084826.0,49884097003.0,2642987823.0,39445934003.0,36802946180.0,91973018829.0,13081150823.0
growth_yoy,2010-01-01,42.0,40.3,82.0,31.2,28.6,37.1,88.7
growth_mom,2010-01-01,-4.0,-3.6,-10.6,-7.2,-7.0,-5.4,7.1
abs,2010-02-01,46641030131.0,43935335477.0,2705694654.0,35104863869.0,32399169215.0,81745894000.0,11536166262.0
growth_yoy,2010-02-01,21.3,19.4,62.5,28.3,26.1,24.2,4.0
growth_mom,2010-02-01,-11.2,-11.9,2.4,-11.0,-12.0,-11.1,-11.8
abs,2010-03-01,59433342729.0,56242195494.0,3191147235.0,45061534362.0,41870387127.0,104494877091.0,14371808367.0
growth_yoy,2010-03-01,39.8,38.2,75.7,45.8,43.9,42.3,23.7
growth_mom,2010-03-01,27.4,28.0,17.9,28.4,29.2,27.8,24.6
abs,2010-04-01,51896054735.0,48970293598.0,2925761137.0,42706858437.0,39781097300.0,94602913172.0,9189196298.0
