date,bank,rate,value
2000-10-01,investment,fdr_6mo,3.37
2000-10-01,commercial,fdr_1mo,3.45
2000-10-01,commercial,walr,7.606746296721491
2000-10-01,commercial,fdr_6mo,3.55
2000-10-01,commercial,fdr_12mo,4.25
2000-10-01,investment,fdr_3mo,3.16
2000-10-01,investment,fdr_1mo,3.15
2000-10-01,investment,fdr_9mo,0.0
2000-10-01,commercial,sr,2.84
2000-10-01,commercial,blr,6.76
2000-10-01,investment,alr,7.25
2000-11-01,commercial,fdr_3mo,3.48
2000-11-01,investment,fdr_12mo,4.15
2000-11-01,commercial,blr,6.76
2000-11-01,commercial,fdr_12mo,4.25
2000-11-01,commercial,alr,7.58
2000-11-01,commercial,fdr_9mo,3.73
2000-11-01,investment,fdr_9mo,4.0
2000-11-01,investment,fdr_6mo,3.25
2000-11-01,commercial,fdr_1mo,3.44
2000-11-01,commercial,walr,7.612345042506382
2000-11-01,commercial,fdr_6mo,3.54
2000-11-01,investment,fdr_3mo,3.17
2000-11-01,commercial,sr,2.82
2000-11-01,investment,fdr_1mo,3.12
2000-11-01,investment,alr,7.13
2000-12-01,commercial,fdr_1mo,3.44
2000-12-01,investment,fdr_9mo,3.68
2000-12-01,commercial,blr,6.79
2000-12-01,investment,fdr_6mo,3.3
2000-12-01,investment,fdr_12mo,4.23
2000-12-01,investment,alr,7.03
2000-12-01,commercial,sr,2.73
2000-12-01,commercial,fdr_9mo,3.7
2000-12-01,investment,fdr_3mo,3.24
2000-12-01,commercial,alr,7.46
2000-12-01,investment,fdr_1mo,3.13
2000-12-01,commercial,fdr_12mo,4.24
2000-12-01,commercial,walr,7.374586251920688
2000-12-01,commercial,fdr_6mo,3.5
2000-12-01,commercial,fdr_3mo,3.47
2001-01-01,investment,fdr_9mo,3.4
2001-01-01,commercial,walr,7.382650747706381
2001-01-01,commercial,fdr_6mo,3.52
2001-01-01,commercial,fdr_12mo,4.24
2001-01-01,commercial,fdr_3mo,3.46
2001-01-01,investment,alr,7.0
2001-01-01,commercial,alr,7.390000000000001
2001-01-01,commercial,fdr_1mo,3.44
2001-01-01,investment,fdr_3mo,3.15
2001-01-01,investment,fdr_1mo,3.06
2001-01-01,commercial,fdr_9mo,3.69
2001-01-01,commercial,sr,2.7
2001-01-01,investment,fdr_12mo,3.77
2001-01-01,investment,fdr_6mo,3.24
2001-01-01,commercial,blr,6.79
2001-02-01,investment,fdr_3mo,3.09
2001-02-01,commercial,fdr_12mo,4.24
2001-02-01,investment,fdr_6mo,3.15
2001-02-01,commercial,fdr_1mo,3.43
2001-02-01,commercial,sr,2.68
2001-02-01,investment,alr,6.99
2001-02-01,commercial,fdr_9mo,3.67
2001-02-01,commercia

... [Content truncated, total 228,523 chars] ...
