reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL12105039TC,BIO NICE MISTURA XIAO YAO,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105041TC,BIO NICE MISTURA GUI ZHI,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105033TC,BIO NICE MISTURA LIU WEI DI HUANG,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105005TC,BIO NICE MISTURA YIN QIAO,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL07101369TC,GANODERMA REISHI,NATURAL PRODUCT,HEALTHY LIVING MARKETING,RPM HERBS INDUSTRIES,2012-10-26,2017-10-26
MAL07101279T,Moxis Green Gel,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-10-26,2017-10-26
MAL19973070T,SPIRULINA TABLET 560MG,NATURAL PRODUCT,TAIWAY MARKETING (M) SDN. BHD.,TAIWAY NUTRITION INC,2012-10-27,2017-10-27
MAL12115042TC,MANGOSTANA PLUS,NATURAL PRODUCT,PENAWAR SUFI ENTERPRISE,RPM HERBS INDUSTRIES,2012-11-29,2017-11-29
MAL12115027N,Live-well™ WGP® Beta Glucan plus Vitamin-C Tablets,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2012-11-29,2017-11-29
MAL12115046TC,RAJIME KAPSUL BIJI TUNJUK  LANGIT,NATURAL PRODUCT,rajime enterprise,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2012-11-29,2017-11-29
MAL12115002T,PP GINKGO 80 Tablet,NATURAL PRODUCT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2012-11-29,2017-11-29
MAL12115015TC,Aman Liquid,NATURAL PRODUCT,Vital Force Enterprise,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2012-11-29,2017-11-29
MAL12115004TC,BIO NICE MISTURA  ZHI KE,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-11-29,2017-11-29
MAL20122251TE,ANING MISAI KUCING TEA,NATURAL PRODUCT,ANING RESOURCES SDN. BHD.,ANING RESOURCES SDN. BHD.,2012-11-29,2017-11-30
